"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/13/2015","340030006","1","0","ppm","0","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/03/2015","340030006","1","0.026","ppm","24","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/04/2015","340030006","1","0.017","ppm","16","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/05/2015","340030006","1","0.03","ppm","28","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/06/2015","340030006","1","0.032","ppm","30","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/07/2015","340030006","1","0.041","ppm","38","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/08/2015","340030006","1","0.049","ppm","45","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/09/2015","340030006","1","0.046","ppm","43","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/10/2015","340030006","1","0.014","ppm","13","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/11/2015","340030006","1","0.045","ppm","42","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/12/2015","340030006","1","0.045","ppm","42","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/13/2015","340030006","1","0.033","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/14/2015","340030006","1","0.026","ppm","24","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/15/2015","340030006","1","0.037","ppm","34","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/16/2015","340030006","1","0.027","ppm","25","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/17/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/18/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/19/2015","340030006","1","0.044","ppm","41","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/20/2015","340030006","1","0.031","ppm","29","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/21/2015","340030006","1","0.037","ppm","34","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/22/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/24/2015","340030006","1","0.036","ppm","33","23","96.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/25/2015","340030006","1","0.021","ppm","19","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/26/2015","340030006","1","0.021","ppm","19","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/27/2015","340030006","1","0.032","ppm","30","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/28/2015","340030006","1","0.036","ppm","33","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/29/2015","340030006","1","0.044","ppm","41","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/30/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"03/31/2015","340030006","1","0.034","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/01/2015","340030006","1","0.046","ppm","43","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/02/2015","340030006","1","0.048","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/03/2015","340030006","1","0.029","ppm","27","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/04/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/05/2015","340030006","1","0.044","ppm","41","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/06/2015","340030006","1","0.032","ppm","30","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/07/2015","340030006","1","0.027","ppm","25","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/08/2015","340030006","1","0.041","ppm","38","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/09/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/10/2015","340030006","1","0.022","ppm","20","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/11/2015","340030006","1","0.046","ppm","43","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/12/2015","340030006","1","0.046","ppm","43","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/13/2015","340030006","1","0.045","ppm","42","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/14/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/15/2015","340030006","1","0.048","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/16/2015","340030006","1","0.044","ppm","41","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/17/2015","340030006","1","0.039","ppm","36","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/18/2015","340030006","1","0.061","ppm","71","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/19/2015","340030006","1","0.041","ppm","38","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/20/2015","340030006","1","0.032","ppm","30","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/21/2015","340030006","1","0.044","ppm","41","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/22/2015","340030006","1","0.044","ppm","41","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/23/2015","340030006","1","0.036","ppm","33","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/24/2015","340030006","1","0.038","ppm","35","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/25/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/26/2015","340030006","1","0.046","ppm","43","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/27/2015","340030006","1","0.037","ppm","34","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/28/2015","340030006","1","0.048","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/29/2015","340030006","1","0.048","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"04/30/2015","340030006","1","0.04","ppm","37","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/01/2015","340030006","1","0.033","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/02/2015","340030006","1","0.039","ppm","36","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/03/2015","340030006","1","0.051","ppm","47","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/04/2015","340030006","1","0.065","ppm","84","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/05/2015","340030006","1","0.064","ppm","80","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/06/2015","340030006","1","0.043","ppm","40","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/07/2015","340030006","1","0.047","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/08/2015","340030006","1","0.06","ppm","67","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/09/2015","340030006","1","0.034","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/10/2015","340030006","1","0.03","ppm","28","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/11/2015","340030006","1","0.027","ppm","25","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/12/2015","340030006","1","0.055","ppm","51","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/13/2015","340030006","1","0.032","ppm","30","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/14/2015","340030006","1","0.052","ppm","48","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/15/2015","340030006","1","0.055","ppm","51","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/16/2015","340030006","1","0.037","ppm","34","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/17/2015","340030006","1","0.055","ppm","51","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/18/2015","340030006","1","0.033","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/19/2015","340030006","1","0.029","ppm","27","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/20/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/21/2015","340030006","1","0.029","ppm","27","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/22/2015","340030006","1","0.05","ppm","46","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/23/2015","340030006","1","0.045","ppm","42","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/24/2015","340030006","1","0.066","ppm","87","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/25/2015","340030006","1","0.065","ppm","84","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/26/2015","340030006","1","0.063","ppm","77","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/27/2015","340030006","1","0.036","ppm","33","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/28/2015","340030006","1","0.056","ppm","54","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/29/2015","340030006","1","0.045","ppm","42","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/30/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"05/31/2015","340030006","1","0.038","ppm","35","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/01/2015","340030006","1","0.028","ppm","26","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/02/2015","340030006","1","0.014","ppm","13","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/03/2015","340030006","1","0.034","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/04/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/05/2015","340030006","1","0.026","ppm","24","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/06/2015","340030006","1","0.047","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/07/2015","340030006","1","0.043","ppm","40","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/08/2015","340030006","1","0.038","ppm","35","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/09/2015","340030006","1","0.057","ppm","58","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/10/2015","340030006","1","0.064","ppm","80","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/10/2015","340030006","1","0.064","ppm","80","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/10/2015","340030006","1","0.064","ppm","80","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/11/2015","340030006","1","0.077","ppm","122","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/11/2015","340030006","1","0.077","ppm","122","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/12/2015","340030006","1","0.062","ppm","74","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/12/2015","340030006","1","0.042","ppm","74","7","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/12/2015","340030006","1","0.062","ppm","74","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/13/2015","340030006","1","0.049","ppm","45","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/14/2015","340030006","1","0.076","ppm","119","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/15/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/16/2015","340030006","1","0.034","ppm","31","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/17/2015","340030006","1","0.037","ppm","34","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/19/2015","340030006","1","0.046","ppm","43","22","92.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/20/2015","340030006","1","0.032","ppm","30","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/21/2015","340030006","1","0.039","ppm","36","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/22/2015","340030006","1","0.055","ppm","51","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/23/2015","340030006","1","0.054","ppm","50","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/24/2015","340030006","1","0.039","ppm","36","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/25/2015","340030006","1","0.051","ppm","47","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/26/2015","340030006","1","0.055","ppm","51","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/27/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/28/2015","340030006","1","0.031","ppm","29","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/29/2015","340030006","1","0.035","ppm","32","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
"06/30/2015","340030006","1","0.047","ppm","44","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.870436","-73.991994"
